case_reference,date_info_supplied,subject,type_
FOI587962352,15/10/2021,Electric Vehicle (EV) Charging Points,EIR
FOI364968435,15/10/2021,Traded Services,FOI
FOI295902234,15/10/2021,Staff within EHE Department,FOI
FOI994547620,14/10/2021,Council Tax Bands,FOI
FOI887191171,14/10/2021,Ward Boundaries,FOI
FOI993763204,14/10/2021,Credit Balances,FOI
FOI856179256,14/10/2021,Potholes,EIR
FOI136833983,14/10/2021,Dogs,FOI
FOI088569568,14/10/2021,Zero hours contract,FOI
FOI185228693,14/10/2021,Business Rates,FOI
FOI919808783,14/10/2021,Roadworks,EIR
FOI327515220,13/10/2021,Boiler Rooms,FOI
FOI740760128,13/10/2021,Library statistics 2021,FOI
FOI211565413,12/10/2021,Covid,FOI
FOI296339089,11/10/2021,Planning Objection,EIR
FOI689582442,11/10/2021,Planning comments,EIR
FOI846455034,11/10/2021,Waste Management,EIR
FOI434968369,08/10/2021,Completion Notices,FOI
FOI852161059,08/10/2021,Section 95 Enforcement,FOI
FOI362369350,08/10/2021,VAT,FOI
FOI858507031,08/10/2021,Section 47 referrals,FOI
FOI697994561,08/10/2021,Climate Emergency actions,EIR
FOI024732795,07/10/2021,Disability Equipment,FOI
FOI403730154,04/10/2021,Municipal Truck Fleets,EIR
FOI663376672,04/10/2021,In-year vacancies and waiting list information,FOI
FOI361624377,04/10/2021,Covid Test Vehicles,FOI
FOI540150364,04/10/2021,Tree's Policy,EIR
FOI617170370,04/10/2021,Research and Development,FOI
FOI086515443,01/10/2021,Queen's Leisure Centre Consultation,FOI
FOI360679781,01/10/2021,Looked after children,FOI
FOI297782821,01/10/2021,Free School Meals,FOI
FOI 14396,01/10/2021,Social Care Temporary Staff Spend,FOI
FOI314527416,30/09/2021,Number of Staff with PC’s,FOI
FOI357459431,30/09/2021,Age assessments of unaccompanied asylum seeking children,FOI
FOI010755792,29/09/2021,Migrant unaccompanied minors,FOI
FOI613232051,29/09/2021,KPI's for IT,FOI
FOI077049444,29/09/2021,Business Rates,FOI
FOI551849119,29/09/2021,Technology,FOI
FOI952527803,28/09/2021,HMO Article 4 Direction(s),EIR
FOI359113370,27/09/2021,Historical flood information,EIR
FOI359311568,27/09/2021,5g equipped street lighting,EIR
FOI429441226,26/09/2021,Council Tax Credits,FOI
FOI755437618,24/09/2021,Employment roles,FOI
FOI304661074,24/09/2021,Breeders license fees,FOI
FOI636201606,24/09/2021,Business Rates,FOI
EIR 15400,23/09/2021,Clean Air Zone,EIR
FOI 15422,23/09/2021,Parking during pandemic,FOI
EIR 15512,23/09/2021,Truck Restrictions,EIR
EIR 15520,23/09/2021,Parking Tickets Statham Street,EIR
EIR 15374,23/09/2021,Parking Tickets,EIR
FOI 15418,22/09/2021,Parking Grace Times,FOI
FOI879719393,22/09/2021,Auditory Processing Disorder,FOI
EIR 15577,22/09/2021,Capital and Integrated Transports schemes,EIR
FOI768676544,21/09/2021,Procurement Process,FOI
FOI357271607,20/09/2021,IT and Software,FOI
FOI800574308,20/09/2021,Planning for Net Zero,EIR
FOI896140125,20/09/2021,Software,FOI
FOI852725967,17/09/2021,Licensed dog breeders,FOI
FOI898710842,17/09/2021,School Admissions and Tenant Fees Act,FOI
FOI354099680,17/09/2021,Job description and specification,FOI
FOI890417354,16/09/2021,Allotments and bonfires,EIR
FOI472199654,15/09/2021,Funding to charities and third sector bodies,FOI
FOI150436665,15/09/2021,Moorways Sports Village & Queen's LC next steps,FOI
FOI967946355,15/09/2021,Public Health Funerals,FOI
FOI354356808,14/09/2021,Objection letter for a planning application at 1 Springfield Derby Ref 21/01116/FUL,EIR
FOI356333311,13/09/2021,council spending,FOI
FOI648749747,13/09/2021,External litter bin procurement,EIR
FOI289761112,13/09/2021,Courier service contracts,FOI
FOI 15460,10/09/2021,Ofsted Inspections for Elective Home Education,FOI
EIR 15330,10/09/2021,Project Manor Road / St Albans/ Right Turn Harbourage A5111,EIR
FOI208895413,09/09/2021,Social care systems suppliers and costs,FOI
FOI278315959,09/09/2021,,FOI
FOI283547690,08/09/2021,Digital Transformation and Licensing,FOI
FOI427675340,08/09/2021,Sites of Ecological Interest,EIR
FOI651638814,08/09/2021,Moorways Sports Village Environmental Considerations,EIR
FOI057870443,07/09/2021,Contracts,FOI
FOI332868803,07/09/2021,Missed Collections,EIR
FOI 15518,07/09/2021,Unaccompanied asylum seeking children (UASC),FOI
EIR 15563,07/09/2021,CCTV cameras,EIR
FOI660691321,06/09/2021,Waste,EIR
EIR 15252,06/09/2021,Manor Road / Eastwood Drive,EIR
FOI076801883,03/09/2021,Procurement Framework,FOI
FOI063134644,02/09/2021,Staffing Structures,FOI
FOI524239566,02/09/2021,Local Household Waste Recycling Centres,EIR
FOI535802690,02/09/2021,Social Housing,FOI
EIR 15470,01/09/2021,Waste recycling tonnage,EIR
FOI 14868,01/09/2021,Positive COVID-19 requests from Derby University,FOI
FOI878273598,31/08/2021,Roles under the Proceeds of Crime Act 2002,FOI
FOI 15580,26/08/2021,Looked after children,FOI
FOI 15582,26/08/2021,Antisemitism,FOI
FOI 15583,26/08/2021,Asylum seeking children (UASCs),FOI
FOI 15571,25/08/2021,Children in care mental health issues and suicide.,FOI
FOI 15573,25/08/2021,Name of person responsible for various roles within the Council.,FOI
EIR 15575,25/08/2021,Public Protection Officers,EIR
FOI 15576,25/08/2021,Unidentified Bodies and Public Health Funerals,FOI
FOI 15569,23/08/2021,Homecare contracts.,FOI
FOI 15570,23/08/2021,Facial recognition software.,FOI
FOI 15581,23/08/2021,Childhood bladder and bowel (continence) problems,FOI
FOI 15565,20/08/2021,New food business registrations 06/04/2020 - 05/04/2021,FOI
EIR 15567,20/08/2021,River Derwent Flood History,EIR
EIR 15568,20/08/2021,Micro asphalt and surface dressing,EIR
FOI 15554,20/08/2021,Council Tax,FOI
FOI 15539,20/08/2021,Home to School Transport,FOI
FOI222442204,19/08/2021,IT Contact details,FOI
FOI 15555,18/08/2021,Furloughed Staff,FOI
FOI 15560,18/08/2021,Enforcement action in S95 housing,FOI
FOI 15561,18/08/2021,Hong Kong citizens who are BNO Visa holders and school places.,FOI
FOI 15562,18/08/2021,Local land searches 2019 & 2021.,FOI
FOI 15557,17/08/2021,ENCTS concession bus passes,FOI
FOI 15558,17/08/2021,ERP System,FOI
FOI 15551,16/08/2021,Lone Workers,FOI
FOI 15465,16/08/2021,Pub Licensing,FOI
FOI 15456,16/08/2021,Food Hygiene Reports,FOI
FOI 15553,16/08/2021,Graded Care Profile,FOI
EIR 15552,13/08/2021,Biodiversity Net Gain,EIR
FOI 15549,12/08/2021,Council Tax Exemptions,FOI
FOI 15548,11/08/2021,Microsoft 365 Teams Guest Access Policy,FOI
FOI 15543,11/08/2021,Stonewall,FOI
FOI 15544,11/08/2021,Business Rates,FOI
FOI 15559,11/08/2021,Teaching costs,FOI
FOI082480261,11/08/2021,Public Health Funerals,FOI
FOI 15325,11/08/2021,Public Toilets,FOI
FOI 15075,11/08/2021,Allestree Hall and Golf Course for sale.,FOI
FOI 15187,11/08/2021,Occupational Therapy Services,FOI
FOI 14063,11/08/2021,Alternative Provision and PRU,FOI
FOI 15525,10/08/2021,Housing people in Bed & Breakfasts,FOI
